SLCC,frase
Arguments Facts,Voglio prendere in mano la situazione
Arguments Facts,Voglio toccare con mano
Arguments Facts,Non vedo bene questa cosa
Arguments Facts,Se non vedo non ci credo
Arguments Facts,Chi te l'ha detto?
Arguments Facts,Fammi vedere i dati
Arguments Facts,Dimostramelo con i fatti
Arguments Facts,Mostrami le prove
Arguments Facts,Voglio verificarlo di persona
Arguments Facts,Parliamo di cose concrete
Arguments Intuitions,Immagino che
Arguments Intuitions,Suppongo che
Arguments Intuitions,Dovrebbe succedere che
Arguments Intuitions,Ho la sensazione che
Arguments Intuitions,Mi viene da pensare che
Arguments Intuitions,Presumo che
Arguments Intuitions,Credo che potrebbe andare così
Arguments Intuitions,Il mio istinto mi dice che
Arguments Intuitions,Ipotizzo che
Arguments Intuitions,Sento che sarà così
Reference External,Ho letto
Reference External,Mi hanno detto
Reference External,Le recensioni dicono
Reference External,Tutti fanno così
Reference External,Gli esperti sostengono che
Reference External,Si dice in giro che
Reference External,L'ho visto fare da altri
Reference External,Cosa ne pensano gli altri?
Reference External,Mi conviene sentire prima cosa dicono loro
Reference External,Se lo fanno tutti un motivo ci sarà
Reference Internal,Penso
Reference Internal,Secondo me
Reference Internal,A mio parere
Reference Internal,Io la vedo così
Reference Internal,Sono convinto che
Reference Internal,Per come la penso io
Reference Internal,Mi fido del mio giudizio
Reference Internal,Decido da solo cosa è giusto
Reference Internal,Non mi interessa cosa dicono gli altri
Reference Internal,Io so cosa è meglio per me
Results Best,Nel migliore dei casi
Results Best,Se tutto va bene
Results Best,Il massimo che possiamo ottenere
Results Best,Pensiamo in grande
Results Best,Immaginiamo il risultato ideale
Results Best,Potrebbe andare benissimo
Results Best,Vediamo il lato positivo
Results Best,Nella situazione ottimale
Results Best,Se le cose vanno come spero
Results Best,Puntiamo al risultato migliore
Results Worst,Nel peggiore dei casi
Results Worst,Se va tutto storto
Results Worst,Speriamo non succeda il peggio
Results Worst,E se non funzionasse?
Results Worst,Meglio prepararsi al peggio
Results Worst,Nella situazione più sfortunata
Results Worst,Cosa succede se fallisce?
Results Worst,Mettiamo in conto che vada male
Results Worst,Nel caso più disastroso
Results Worst,Devo pensare a cosa potrebbe andare storto
Criteria Difference,Diversamente dall'altro anno
Criteria Difference,Questo è diverso da quello
Criteria Difference,Non c'entra niente con l'altro progetto
Criteria Difference,È tutta un'altra cosa
Criteria Difference,Cambia completamente rispetto a prima
Criteria Difference,Non è per niente come l'altra volta
Criteria Difference,Qui la situazione è opposta
Criteria Difference,"Rispetto a prima, è cambiato tutto"
Criteria Difference,Non ha nulla a che vedere con l'altro caso
Criteria Difference,È l'esatto contrario di quello che avevamo
Criteria Similarity,Un luogo come l'altro anno
Criteria Similarity,Questo è simile a quello
Criteria Similarity,È praticamente la stessa cosa
Criteria Similarity,Ci ricorda molto l'esperienza precedente
Criteria Similarity,Assomiglia a quello che abbiamo già fatto
Criteria Similarity,È in linea con ciò che conosciamo
Criteria Similarity,Stesso discorso di prima
Criteria Similarity,Funziona allo stesso modo di prima
Criteria Similarity,È coerente con quanto visto finora
Criteria Similarity,Ricalca lo stesso schema di sempre
Information Generic,Fammi una panoramica
Information Generic,Dimmi un po'
Information Generic,A grandi linee
Information Generic,In generale come funziona?
Information Generic,Dammi un'idea generale
Information Generic,Raccontami un po' di cosa si tratta
Information Generic,Senza scendere nei dettagli
Information Generic,Un riassunto veloce va bene
Information Generic,Dammi il quadro d'insieme
Information Generic,Spiegami sommariamente
Information Specific,Dimmi esattamente
Information Specific,"Nei dettagli, di cosa si tratta?"
Information Specific,Voglio sapere ogni singolo passaggio
Information Specific,"Entra nel dettaglio, per favore"
Information Specific,Quali sono i numeri precisi?
Information Specific,Spiegami punto per punto
Information Specific,Ho bisogno di tutte le specifiche
Information Specific,Puoi essere più preciso?
Information Specific,Dammi i dettagli tecnici
Information Specific,Che cosa esattamente devo fare?
Phylosophy How,Dimmi come si fa
Phylosophy How,Qual è il procedimento?
Phylosophy How,Come lo mettiamo in pratica?
Phylosophy How,Con quali passaggi si arriva al risultato?
Phylosophy How,Che metodo dobbiamo seguire?
Phylosophy How,Come funziona nel concreto?
Phylosophy How,Qual è il modo giusto per farlo?
Phylosophy How,Mostrami come procedere passo dopo passo
